chrom	start	end	score	coverage
21	163061472	171452315	95.381593	220.217384
4	72006778	46940977	87.585294	70.993086
1	217661847	144383057	26.338905	631.102957
Y	12663638	196725423	50.058611	228.941784
9	196885885	66717227	17.865188	905.420013
8	124325926	44863939	91.262784	859.6354
8	144942632	125087872	87.051857	70.85735
5	34507767	102859844	29.844479	238.004634
Y	248576778	73463950	63.894949	668.977778
4	102612049	249408945	60.897021	214.236807
22	22152766	172799736	15.283927	132.311849
Y	149187279	185727354	76.25108	935.514241
18	79699444	150506706	53.937903	571.043093
3	223641619	59952694	77.862648	472.671026
19	169749210	184776601	53.035367	784.619424
14	167032631	88049307	0.05719	807.496998
2	238686642	227251751	32.415606	190.409914
1	232312684	207243989	1.947674	96.930814
3	98075663	209306318	92.909862	431.051182
7	155981787	16017450	87.872188	423.578623
8	52617074	62486116	83.166553	467.024668
17	190132063	221601918	30.751413	729.075849
20	19671069	9618163	5.792517	673.364547
1	13300889	217103066	87.80096	984.165211
18	178506521	85679671	94.694945	98.417871
7	62175976	108687734	8.565345	402.621282
X	208518952	72872465	48.599046	339.302605
21	78681988	18768426	6.921252	861.672536
X	22418995	57636457	76.060217	248.656334
18	230597602	246118724	76.583443	190.208908
14	63489327	153252468	12.839146	448.613548
8	233594939	236250004	47.528238	421.88164
15	28112365	193713767	54.980359	278.545145
19	103039357	85472194	26.505663	249.806448
9	75617971	58078078	87.243304	923.265599
1	122711401	176943311	42.313794	443.130745
6	171640242	135012867	21.179821	861.349105
X	224904813	107203541	53.929609	550.325312
14	98933892	238481523	72.993107	50.58833
11	44662126	246498635	20.115106	999.282468
9	100369696	173564881	31.171629	836.027585
5	96367253	124173780	99.514936	968.996257
7	57239114	39353212	64.987806	926.366983
11	180898778	72104025	43.810008	848.695734
4	72666312	38482057	51.757584	166.311111
3	189393455	67204268	12.10042	485.641125
13	184488429	200982447	22.469734	213.747299
4	174955674	151691534	33.808556	401.040293
12	20166965	145681643	58.830872	58.6354
12	164512359	71529269	23.011473	378.973119
