chrom	pos	pvalue	gene
11	107191875	2e-08	GENE0
Y	158307651	3.971e-05	GENE1
X	28120616	0.18758977	GENE2
12	91344924	0.0	GENE3
19	82004466	0.00239276	GENE4
1	87598139	2e-08	GENE5
X	37628464	0.5315677	GENE6
X	43279626	0.0	GENE7
12	197589248	0.05816618	GENE8
19	118270963	0.0	GENE9
19	213558608	0.00104415	GENE10
5	172601656	0.00021238	GENE11
19	131781759	0.05996113	GENE12
7	175263001	2.64e-06	GENE13
16	86170112	4e-08	GENE14
18	47762172	3e-08	GENE15
10	190832968	0.0	GENE16
6	151854635	3e-08	GENE17
16	187176200	0.0	GENE18
2	239800239	0.0	GENE19
3	165741251	6.6e-07	GENE20
2	212256501	0.0017889	GENE21
8	96784628	0.39274265	GENE22
20	60924782	0.05715639	GENE23
8	179652297	7.61e-06	GENE24
1	159095102	5.6e-07	GENE25
17	219628395	2.545e-05	GENE26
16	48070594	0.0	GENE27
1	102571711	5.58e-06	GENE28
11	83362232	0.03581807	GENE29
20	198030275	0.00027835	GENE30
7	185817393	0.00063517	GENE31
5	80058876	0.0	GENE32
11	35184817	0.0	GENE33
X	48703204	0.02360742	GENE34
6	196644070	8e-08	GENE35
11	1482621	1.4e-07	GENE36
2	189443956	0.26390955	GENE37
1	154769168	0.0	GENE38
5	106119706	0.0	GENE39
19	229373332	5.2e-07	GENE40
X	207918206	0.00176462	GENE41
5	153332493	2.605e-05	GENE42
4	9692676	0.0778806	GENE43
17	49877199	0.0	GENE44
12	162702477	7.602e-05	GENE45
3	86420701	0.00011887	GENE46
12	248239313	6.01e-06	GENE47
X	218112454	0.0	GENE48
22	165116378	0.21388403	GENE49
