loop_id	chrom	start1	end1	start2	end2	size
loop_0	chr1	0	200	50000	50200	186594
loop_1	chr1	10000	10200	60000	60200	489447
loop_2	chr1	20000	20200	70000	70200	236932
loop_3	chr1	30000	30200	80000	80200	348918
loop_4	chr1	40000	40200	90000	90200	139450
loop_5	chr1	50000	50200	100000	100200	396820
loop_6	chr1	60000	60200	110000	110200	256175
loop_7	chr1	70000	70200	120000	120200	117190
loop_8	chr1	80000	80200	130000	130200	110941
loop_9	chr1	90000	90200	140000	140200	439085
loop_10	chr1	100000	100200	150000	150200	287369
loop_11	chr1	110000	110200	160000	160200	147151
loop_12	chr1	120000	120200	170000	170200	494173
loop_13	chr1	130000	130200	180000	180200	299659
loop_14	chr1	140000	140200	190000	190200	369994
loop_15	chr1	150000	150200	200000	200200	147407
loop_16	chr1	160000	160200	210000	210200	76970
loop_17	chr1	170000	170200	220000	220200	62266
loop_18	chr1	180000	180200	230000	230200	327792
loop_19	chr1	190000	190200	240000	240200	393440
loop_20	chr1	200000	200200	250000	250200	312668
loop_21	chr1	210000	210200	260000	260200	130452
loop_22	chr1	220000	220200	270000	270200	132117
loop_23	chr1	230000	230200	280000	280200	31615
loop_24	chr1	240000	240200	290000	290200	356185
loop_25	chr1	250000	250200	300000	300200	479577
loop_26	chr1	260000	260200	310000	310200	283418
loop_27	chr1	270000	270200	320000	320200	123316
loop_28	chr1	280000	280200	330000	330200	339466
loop_29	chr1	290000	290200	340000	340200	127073
loop_30	chr1	300000	300200	350000	350200	32520
loop_31	chr1	310000	310200	360000	360200	57532
loop_32	chr1	320000	320200	370000	370200	221688
loop_33	chr1	330000	330200	380000	380200	178168
loop_34	chr1	340000	340200	390000	390200	381102
loop_35	chr1	350000	350200	400000	400200	252675
loop_36	chr1	360000	360200	410000	410200	57714
loop_37	chr1	370000	370200	420000	420200	362140
loop_38	chr1	380000	380200	430000	430200	409103
loop_39	chr1	390000	390200	440000	440200	77072
loop_40	chr1	400000	400200	450000	450200	7716
loop_41	chr1	410000	410200	460000	460200	293543
loop_42	chr1	420000	420200	470000	470200	492115
loop_43	chr1	430000	430200	480000	480200	87806
loop_44	chr1	440000	440200	490000	490200	218336
loop_45	chr1	450000	450200	500000	500200	347303
loop_46	chr1	460000	460200	510000	510200	495226
loop_47	chr1	470000	470200	520000	520200	466712
loop_48	chr1	480000	480200	530000	530200	465534
loop_49	chr1	490000	490200	540000	540200	254403
