variant	variant_id	log2fc	pvalue	n_peaks_overlap	overlaps_peak
chr1_0	chr1_0	-0.3062	0.00869213	7	false
chr1_1000	chr1_1000	0.6069	1e-08	15	false
chr1_2000	chr1_2000	-1.3373	1e-08	0	true
chr1_3000	chr1_3000	1.6487	3e-08	19	true
chr1_4000	chr1_4000	0.0751	0.00302145	17	false
chr1_5000	chr1_5000	2.0599	0.00396242	10	true
chr1_6000	chr1_6000	-0.5236	0.00055013	19	true
chr1_7000	chr1_7000	-1.1463	0.0	7	false
chr1_8000	chr1_8000	1.2441	0.0	20	false
chr1_9000	chr1_9000	2.4443	0.00016287	2	true
chr1_10000	chr1_10000	-2.2433	0.0	20	true
chr1_11000	chr1_11000	2.0401	0.0064157	14	true
chr1_12000	chr1_12000	-2.6455	0.0	9	true
chr1_13000	chr1_13000	0.0388	4.1e-07	20	true
chr1_14000	chr1_14000	0.3184	0.0	13	false
chr1_15000	chr1_15000	2.8329	0.10123142	3	true
chr1_16000	chr1_16000	-2.8702	1.7e-07	4	true
chr1_17000	chr1_17000	0.7452	1.3e-06	1	true
chr1_18000	chr1_18000	1.8013	1e-08	1	true
chr1_19000	chr1_19000	-1.3277	0.00611613	9	true
chr1_20000	chr1_20000	-0.5893	0.04752913	15	false
chr1_21000	chr1_21000	2.4455	4.2e-07	3	true
chr1_22000	chr1_22000	4.3107	9.28e-06	3	false
chr1_23000	chr1_23000	2.1577	5e-08	7	true
chr1_24000	chr1_24000	1.6813	0.0	17	true
chr1_25000	chr1_25000	-0.1307	0.11196561	4	false
chr1_26000	chr1_26000	2.9755	0.22256629	12	true
chr1_27000	chr1_27000	-0.7237	0.37766119	14	true
chr1_28000	chr1_28000	-1.6344	8e-08	11	true
chr1_29000	chr1_29000	0.4545	0.04139329	17	false
chr1_30000	chr1_30000	3.9188	0.00916014	13	true
chr1_31000	chr1_31000	-0.0154	4.33e-06	18	true
chr1_32000	chr1_32000	1.5362	0.0	4	false
chr1_33000	chr1_33000	1.2174	0.00292482	13	true
chr1_34000	chr1_34000	-1.0594	2e-08	20	true
chr1_35000	chr1_35000	1.2977	0.00049614	3	false
chr1_36000	chr1_36000	-0.132	0.00047492	15	true
chr1_37000	chr1_37000	-0.4001	8.6e-07	19	false
chr1_38000	chr1_38000	0.9676	0.02359774	13	true
chr1_39000	chr1_39000	-1.7591	3.292e-05	8	true
chr1_40000	chr1_40000	3.9978	0.0	1	false
chr1_41000	chr1_41000	0.2036	8.1e-07	11	true
chr1_42000	chr1_42000	0.9542	4e-08	6	true
chr1_43000	chr1_43000	-5.3071	0.0	14	true
chr1_44000	chr1_44000	2.7992	4.5e-07	14	true
chr1_45000	chr1_45000	-1.7612	0.00260145	7	true
chr1_46000	chr1_46000	2.1482	4e-08	11	true
chr1_47000	chr1_47000	-3.7476	5.9e-07	3	true
chr1_48000	chr1_48000	0.2329	0.00020972	11	true
chr1_49000	chr1_49000	-1.4275	4.8e-07	17	false
