loop_id	chrom	start1	end1	start2	end2	size
loop_0	chr1	0	200	50000	50200	187431
loop_1	chr1	10000	10200	60000	60200	219092
loop_2	chr1	20000	20200	70000	70200	179749
loop_3	chr1	30000	30200	80000	80200	173326
loop_4	chr1	40000	40200	90000	90200	356342
loop_5	chr1	50000	50200	100000	100200	59840
loop_6	chr1	60000	60200	110000	110200	454699
loop_7	chr1	70000	70200	120000	120200	89318
loop_8	chr1	80000	80200	130000	130200	177912
loop_9	chr1	90000	90200	140000	140200	220820
loop_10	chr1	100000	100200	150000	150200	368684
loop_11	chr1	110000	110200	160000	160200	264768
loop_12	chr1	120000	120200	170000	170200	156109
loop_13	chr1	130000	130200	180000	180200	352384
loop_14	chr1	140000	140200	190000	190200	214952
loop_15	chr1	150000	150200	200000	200200	431542
loop_16	chr1	160000	160200	210000	210200	403720
loop_17	chr1	170000	170200	220000	220200	293409
loop_18	chr1	180000	180200	230000	230200	24239
loop_19	chr1	190000	190200	240000	240200	243459
loop_20	chr1	200000	200200	250000	250200	51168
loop_21	chr1	210000	210200	260000	260200	169897
loop_22	chr1	220000	220200	270000	270200	137329
loop_23	chr1	230000	230200	280000	280200	174488
loop_24	chr1	240000	240200	290000	290200	65776
loop_25	chr1	250000	250200	300000	300200	410037
loop_26	chr1	260000	260200	310000	310200	216904
loop_27	chr1	270000	270200	320000	320200	458462
loop_28	chr1	280000	280200	330000	330200	274796
loop_29	chr1	290000	290200	340000	340200	437499
loop_30	chr1	300000	300200	350000	350200	5603
loop_31	chr1	310000	310200	360000	360200	349803
loop_32	chr1	320000	320200	370000	370200	460798
loop_33	chr1	330000	330200	380000	380200	289475
loop_34	chr1	340000	340200	390000	390200	247208
loop_35	chr1	350000	350200	400000	400200	221660
loop_36	chr1	360000	360200	410000	410200	33418
loop_37	chr1	370000	370200	420000	420200	103347
loop_38	chr1	380000	380200	430000	430200	276811
loop_39	chr1	390000	390200	440000	440200	194676
loop_40	chr1	400000	400200	450000	450200	331439
loop_41	chr1	410000	410200	460000	460200	401594
loop_42	chr1	420000	420200	470000	470200	266353
loop_43	chr1	430000	430200	480000	480200	332894
loop_44	chr1	440000	440200	490000	490200	236756
loop_45	chr1	450000	450200	500000	500200	403453
loop_46	chr1	460000	460200	510000	510200	32059
loop_47	chr1	470000	470200	520000	520200	111723
loop_48	chr1	480000	480200	530000	530200	145014
loop_49	chr1	490000	490200	540000	540200	292949
