chrom	pos	pvalue	gene
9	217412715	2e-07	GENE0
15	96071026	0.0	GENE1
22	20347618	1.132e-05	GENE2
14	107587980	0.0	GENE3
16	232328109	1.118e-05	GENE4
20	200190202	0.09303258	GENE5
15	12355427	2.9e-07	GENE6
14	118096807	0.00158874	GENE7
9	6030893	0.01281124	GENE8
7	124414341	0.01171835	GENE9
17	248272658	2e-08	GENE10
4	21901084	0.0	GENE11
12	232420895	1e-08	GENE12
14	85036572	9.199e-05	GENE13
4	155554173	0.00335839	GENE14
10	116235123	0.0003087	GENE15
22	154920805	1e-08	GENE16
22	109561440	0.00447915	GENE17
19	191454676	7.79e-06	GENE18
16	172836720	0.00294451	GENE19
17	113123868	0.0033326	GENE20
22	78716147	2.78e-06	GENE21
10	31916617	0.14097015	GENE22
2	109725032	3.877e-05	GENE23
8	6598638	0.00019474	GENE24
13	88179295	0.00015232	GENE25
20	47136855	0.03597858	GENE26
2	216103276	0.00016198	GENE27
1	166926736	0.0	GENE28
7	124506320	0.0	GENE29
10	224345254	2.39e-06	GENE30
7	186115785	1e-07	GENE31
5	247898812	5e-08	GENE32
9	98134092	0.0	GENE33
10	24657185	1.054e-05	GENE34
11	118228925	1.2e-07	GENE35
4	227689544	2.98e-06	GENE36
1	29417419	0.0	GENE37
16	66314768	0.01713155	GENE38
Y	117951026	0.0	GENE39
14	159073933	0.03598117	GENE40
6	108494928	0.02933624	GENE41
5	141650125	0.00012263	GENE42
13	22111667	1.047e-05	GENE43
18	107237812	3.81e-06	GENE44
X	234679618	3.074e-05	GENE45
8	84288692	0.00690234	GENE46
17	201200459	0.07399118	GENE47
18	92137403	2.83e-06	GENE48
22	60477796	0.01040345	GENE49
